NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04512079,NO,2022-12-30,
NCT04683484,NO,2021-06-10,
NCT04375202,NO,2021-10-31,
NCT05855421,NO,2023-12-15,
NCT04662021,NO,2021-02-10,
NCT06142279,NO,2024-11,
NCT04575584,YES,2021-08-11,2022-07-20
NCT04459702,NO,2021-07,
NCT04510402,NO,2021-02,
NCT04926779,YES,2022-11-04,2023-11-04
NCT04525079,YES,2020-08-07,2021-10-28
NCT04381884,NO,2020-09-29,
NCT04602884,NO,2021-12-30,
NCT05465902,NO,2023-11,
NCT04640402,NO,2021-02-18,
NCT06110702,NO,2022-04-30,
NCT04728802,YES,2021-04-15,2021-06-15
NCT04796402,NO,2021-06-07,
NCT04749121,NO,2021-02-05,
NCT04853979,NO,2021-07-12,
NCT04379479,NO,2020-08,
NCT05572879,NO,2023-06-23,
NCT04565379,NO,2021-04-13,
NCT04345679,NO,2021-06-01,
NCT05107479,NO,2022-02-10,
NCT05493384,NO,2022-10-20,
NCT05726084,NO,2023-10-30,
NCT04765384,NO,2023-11-24,
NCT04610502,NO,2020-10-06,
NCT04847102,NO,2021-11-30,
NCT05779579,NO,2023-05-31,
NCT05453279,NO,2022-11-01,
NCT04461379,NO,2021-01-01,
NCT04415879,NO,2020-08-01,
NCT04372979,NO,2021-06-01,
NCT04335084,NO,2024-12,
NCT04805684,NO,2021-03-05,
NCT04606784,NO,2021-06-15,
NCT05126602,NO,2021-09-30,
NCT04514302,NO,2022-08-01,
NCT04563702,NO,2021-10-10,
NCT05858502,NO,2024-03-30,
NCT04383002,NO,2021-05-11,
NCT04380402,NO,2021-12-31,
NCT04939402,NO,2028-05,
NCT04944121,NO,2023-03-31,
NCT05065879,NO,2022-01-05,
NCT04402879,NO,2021-12-01,
NCT04335279,YES,2020-06-03,2022-04-11
NCT04353284,YES,2021-03-03,2022-03-02
NCT05096884,NO,2023-09-12,
NCT04627584,NO,2021-05,
NCT05303402,NO,2023-07-29,
NCT04870164,NO,2022-01-06,
NCT04356690,YES,2022-07-01,2023-04-24
